Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud
SAN JUAN,Chimbas,Villa Paula Albarracin,0,--,--,--,--,--,SI,--,SI,SI,70042010.0,-31.4936358990356,-68.5357082138994
SAN JUAN,Iglesia,Angualasto,316,--,--,--,--,--,SI,--,--,SI,70049010.0,-30.0536455973497,-69.1717079231376
SAN JUAN,Iglesia,Bella Vista,325,--,--,--,--,SI,SI,--,--,--,70049020.0,-30.4401531794669,-69.2447866603611
SAN JUAN,Iglesia,Iglesia,661,--,--,--,--,SI,SI,SI,--,--,70049030.0,-30.4128218913916,-69.2051642049627
SAN JUAN,Iglesia,Las Flores,906,--,--,--,--,SI,SI,SI,SI,SI,70049040.0,-30.3242644504455,-69.2453069928074
SAN JUAN,Iglesia,Pismanta,98,--,--,--,--,SI,SI,--,--,--,70049050.0,-30.2709800462776,-69.2286104874715
SAN JUAN,Iglesia,Rodeo,2625,--,--,--,--,--,SI,SI,SI,SI,70049060.0,-30.209958054186,-69.1336132382893
SAN JUAN,Iglesia,Tudcum,699,--,--,--,--,SI,SI,SI,--,--,70049070.0,-30.1883781131447,-69.2702835946583
SAN JUAN,Jáchal,El Fical,0,--,--,--,--,--,--,--,--,--,70056040.0,-30.2202750575676,-68.6909967597496
SAN JUAN,Jáchal,El Fiscal,0,--,--,--,--,--,--,--,--,--,70056040.0,-30.2202750575676,-68.6909967597496
SAN JUAN,Jáchal,El Médano,96,--,--,--,--,--,SI,--,--,--,70056010.0,-30.1293832105379,-68.6791733044187
SAN JUAN,Jáchal,Gran China,484,--,--,--,--,--,SI,--,--,--,70056020.0,-30.1225273246059,-68.7161999143951
SAN JUAN,Jáchal,Huaco,1454,--,--,--,--,--,SI,SI,--,--,70056030.0,-30.1570667184839,-68.4809365791381
SAN JUAN,Jáchal,La Falda,0,--,--,--,--,--,--,--,--,--,70056040.0,-30.1628729670379,-68.6652633159112
SAN JUAN,Jáchal,Mogna,114,--,--,--,--,--,SI,--,--,--,70056040.0,-30.6845100664473,-68.3775543569819
SAN JUAN,Jáchal,Niquivil,819,--,--,--,--,--,SI,SI,--,SI,70056050.0,-30.4006750071532,-68.6910630973149
SAN JUAN,Jáchal,Pampa Vieja,740,--,--,--,--,--,SI,--,--,--,70056060.0,-30.2202750575676,-68.6909967597496
SAN JUAN,Jáchal,San Isidro,408,--,--,--,--,--,SI,--,--,--,70056070.0,-30.1488923473271,-68.7044945534412
SAN JUAN,25 de Mayo,Campo Afuera,0,--,--,--,--,--,--,--,--,--,70126010.0,-31.4165329806484,-68.5316143378439
SAN JUAN,25 de Mayo,El Encón,524,--,--,--,--,--,--,--,--,SI,70126010.0,-32.2163733476113,-67.793057098676
SAN JUAN,25 de Mayo,La Chimbera,0,--,--,--,--,--,--,--,--,--,70126010.0,-31.8505514541041,-68.309461754649
SAN JUAN,25 de Mayo,Tupelí,1169,--,--,--,--,--,SI,--,--,--,70126020.0,-31.8390315742989,-68.3573941216943
SAN JUAN,25 de Mayo,Villa Borjas,0,--,--,--,--,--,SI,--,--,--,70126010.0,-31.8100072529359,-68.3289623063813
SAN JUAN,25 de Mayo,Villa Borjas - La Chimbera,5275,--,--,--,--,--,SI,SI,--,--,70126030.0,-31.8100072529359,-68.3289623063813
SAN JUAN,25 de Mayo,Villa El Tango,1367,--,--,--,--,--,--,--,--,--,70126040.0,-31.763268918716,-68.2222966354108
SAN JUAN,25 de Mayo,Villa Santa Rosa,3460,--,--,--,--,--,SI,SI,SI,SI,70126050.0,-31.7448085385712,-68.3142412332522
SAN JUAN,9 de Julio,9 de Julio,3484,--,--,--,SI,SI,SI,SI,SI,SI,70063040.0,-31.669750919971,-68.3900416378963
SAN JUAN,9 de Julio,Alto de Sierra,499,--,--,--,--,--,SI,--,SI,SI,70063010.0,-31.5551785871028,-68.4205987445022
SAN JUAN,9 de Julio,Colonia Fiorito,384,--,--,--,--,--,SI,--,--,--,70063020.0,-31.5551785871028,-68.4205987445022
SAN JUAN,9 de Julio,Las Chacritas,2760,--,--,--,--,--,SI,--,--,SI,70063030.0,-31.5936417922213,-68.4077196718125
SAN JUAN,Albardón,El Rincón,1252,SI,--,SI,--,--,SI,SI,SI,SI,70007010.0,-31.4480943761332,-68.5425141343624
SAN JUAN,Albardón,La Cañada,0,--,--,--,--,--,--,--,--,--,70007010.0,-31.4475643930837,-68.4817213288378
SAN JUAN,Albardón,Villa Ampacama,0,--,--,--,--,--,--,--,--,--,70007010.0,-31.3864085743851,-68.4572411115084
SAN JUAN,Albardón,Villa General San Martin,0,--,--,--,--,--,SI,--,--,--,70007010.0,-31.421071066377,-68.4907605706737
SAN JUAN,Albardón,Villa General San Martín - Campo Afuera,22046,--,--,--,--,--,SI,--,--,--,70007020.0,-31.421071066377,-68.4907605706737
SAN JUAN,Angaco,Las Tapias,1563,--,--,--,--,--,--,SI,--,--,70014010.0,-31.4084472492778,-68.3999429561259
SAN JUAN,Angaco,Villa El Salvador,0,--,--,--,--,--,SI,--,SI,SI,70014010.0,-31.4454020414681,-68.417640160613
SAN JUAN,Calingasta,Barreal,0,--,--,--,--,--,--,--,SI,SI,70021020.0,-31.652328851699,-69.479673849861
SAN JUAN,Calingasta,Barreal - Villa Pituil,3463,--,--,SI,--,--,SI,SI,SI,--,70021010.0,-31.6528323304108,-69.4815385910816
SAN JUAN,Calingasta,Calingasta,2198,--,--,--,--,SI,SI,SI,SI,--,70021020.0,-31.335410441528,-69.4273817834109
SAN JUAN,Calingasta,Tamberías,988,--,--,SI,--,--,SI,SI,SI,--,70021030.0,-31.46037726198,-69.4229130996947
SAN JUAN,Calingasta,Villa Pituil,0,--,--,--,--,--,--,--,--,--,70021020.0,-31.6528323304108,-69.4815385910816
SAN JUAN,Capital,San Juan,109123,SI,SI,SI,SI,SI,SI,SI,SI,SI,70028010.0,-31.5371970378027,-68.5250183173793
SAN JUAN,Caucete,Barrio Justo P. Castro IV,589,--,--,--,--,--,--,--,--,--,70035015.0,-31.6283025583976,-68.3008272782109
SAN JUAN,Caucete,Bermejo,484,--,--,--,--,SI,--,SI,--,--,70035010.0,-31.5918363542723,-67.6623620492559
SAN JUAN,Caucete,Caucete,28222,SI,--,--,--,--,SI,SI,SI,SI,70035020.0,-31.6514787868907,-68.2821404352408
SAN JUAN,Caucete,El Rincón,553,--,--,--,--,--,--,--,--,--,70035030.0,-31.6648793452851,-68.3211580078388
SAN JUAN,Caucete,Las Talas,0,--,--,--,--,--,--,--,--,--,70035050.0,-31.6009569892315,-68.2979743657121
SAN JUAN,Caucete,Las Talas - Los Médanos,805,--,--,--,--,--,--,--,--,--,70035040.0,-31.6009569892314,-68.2979743657121
SAN JUAN,Caucete,Los Medanos,0,--,--,--,--,--,--,--,--,--,70035050.0,-31.6267504756331,-68.2618585178493
SAN JUAN,Caucete,Marayes,99,--,--,--,--,--,--,--,--,--,70035050.0,-31.4776695630337,-67.3093651877693
SAN JUAN,Caucete,Pie de Palo,817,--,--,--,--,--,--,--,--,SI,70035060.0,-31.6609347801137,-68.2204015492999
SAN JUAN,Caucete,Vallecito,404,--,--,--,--,--,SI,--,--,--,70035070.0,-31.7403744670002,-67.9885245900589
SAN JUAN,Caucete,Villa Independencia,823,--,--,--,--,--,SI,--,--,--,70035080.0,-31.6245292071939,-68.3138150331219
MENDOZA,San Rafael,Goudge,2126,--,SI,--,--,--,SI,SI,SI,SI,50105100.0,-34.6803228490363,-68.1358422919666
MENDOZA,San Rafael,Jaime Prats,419,--,--,--,--,--,SI,SI,--,--,50105110.0,-34.9146831219286,-67.8191470107259
MENDOZA,San Rafael,La Llave Nueva,499,--,--,--,--,--,--,SI,--,--,50105120.0,-34.6449297466889,-68.0147704723126
MENDOZA,San Rafael,Las Malvinas,232,--,--,--,--,--,SI,SI,--,--,50105130.0,-34.8384149976168,-68.2539362219611
MENDOZA,San Rafael,Los Reyunos,18,--,--,--,--,--,--,--,--,SI,50105140.0,-34.6099288763693,-68.6205430790631
MENDOZA,San Rafael,Monte Comán,3529,--,--,--,SI,--,SI,SI,SI,SI,50105150.0,-34.5971809945468,-67.8842899055404
MENDOZA,San Rafael,Pobre Diablo,526,--,--,--,--,--,--,--,SI,SI,50105160.0,-34.6703587937035,-68.3591845637218
MENDOZA,San Rafael,Punta del Agua,382,--,--,--,SI,--,--,--,--,--,50105170.0,-35.530165567926,-68.0825092985548
MENDOZA,San Rafael,Rama Caída,850,--,--,--,--,--,SI,SI,SI,SI,50105180.0,-34.7043760307316,-68.3708631047738
MENDOZA,San Rafael,Real del Padre,3635,--,--,--,--,--,SI,SI,SI,SI,50105190.0,-34.8433149755939,-67.7674203749059
MENDOZA,San Rafael,Salto de Las Rosas,1343,--,--,SI,--,--,SI,SI,SI,SI,50105200.0,-34.726958284268,-68.2329031579027
MENDOZA,San Rafael,San Rafael,118009,SI,SI,SI,SI,--,SI,SI,SI,SI,50105210.0,-34.6356104202068,-68.3310920132847
MENDOZA,San Rafael,Villa Atuel,3311,--,--,--,--,--,SI,SI,SI,SI,50105230.0,-34.8345022006919,-67.9257905889932
MENDOZA,San Martín,PALMIRA,0,--,--,--,SI,--,SI,--,SI,SI,50098090.0,-33.0499932818968,-68.5490896779466
MENDOZA,San Martín,San Martín,79476,--,SI,--,SI,SI,SI,--,SI,SI,50098100.0,-33.0732178033808,-68.4605125505865
MENDOZA,San Martín,Tres Porteñas,2545,--,--,--,SI,--,SI,SI,SI,SI,50098110.0,-32.8994801779562,-68.3990962886724
MENDOZA,San Rafael,25 de Mayo,1450,--,SI,SI,--,--,SI,SI,SI,SI,50105220.0,-34.5859138924719,-68.5495682219631
MENDOZA,San Rafael,Barrio Campos El Toledano,956,--,--,--,--,--,--,--,SI,SI,50105010.0,-34.573654040475,-68.3294341868083
MENDOZA,San Rafael,Barrio Echeverria,0,--,--,--,--,--,--,--,SI,SI,50105080.0,-34.6278079094528,-68.4330730738277
MENDOZA,San Rafael,Barrio El Nevado,160,--,--,--,--,--,--,--,--,--,50105020.0,-34.7898637210549,-67.9874651693673
MENDOZA,San Rafael,Barrio Empleados de Comercio,208,--,--,--,--,--,--,--,--,--,50105030.0,-34.5522300096664,-68.3032401705615
MENDOZA,San Rafael,Barrio Intendencia,120,--,--,--,--,--,--,--,SI,SI,50105040.0,-34.645100562517,-68.2754543992412
MENDOZA,San Rafael,Barrio Las Rosas,0,--,--,--,--,--,--,--,--,--,50105080.0,-34.6278079094528,-68.4330730738277
MENDOZA,San Rafael,Barrio Primavera,0,--,--,--,--,--,--,--,--,--,50105080.0,-34.6298100948936,-68.5105923910427
MENDOZA,San Rafael,Capitán Montoya,362,--,--,--,--,--,SI,--,SI,SI,50105050.0,-34.5835613146884,-68.4654391114406
MENDOZA,San Rafael,Cuadro Benegas,1253,SI,--,SI,SI,SI,SI,SI,--,--,50105060.0,-34.6331750282237,-68.2302164082512
MENDOZA,San Rafael,Cuadro Nacional,0,--,--,--,--,--,--,--,SI,SI,50105080.0,-34.6175050676523,-68.2817525680486
MENDOZA,San Rafael,El Nihuil,1030,--,--,--,--,--,SI,SI,--,--,50105070.0,-35.0353713864246,-68.6806149266928
MENDOZA,San Rafael,El Sosneado,65,--,--,--,--,--,--,--,--,--,50105080.0,-35.0821772227253,-69.5924127887533
MENDOZA,San Rafael,El Tropezón,462,--,--,--,--,--,--,--,--,--,50105090.0,-34.6856449091453,-68.2855505604444
MENDOZA,Tupungato,La Arboleda,540,--,--,--,--,--,SI,--,--,SI,50126040.0,-33.3688267818118,-69.1247363670469
MENDOZA,Tupungato,San José,1445,--,--,--,SI,--,SI,--,SI,SI,50126050.0,-33.3068450101282,-69.1645780862147
MENDOZA,Tupungato,Tupungato,13218,SI,--,--,SI,SI,SI,SI,SI,SI,50126060.0,-33.3643638135734,-69.1513190958561
MENDOZA,Tupungato,Villa Bastias,0,--,--,--,--,--,--,--,--,--,50126020.0,-33.3420986445545,-69.1487758488674
NEUQUEN,Aluminé,Aluminé,4591,--,SI,--,--,SI,SI,SI,--,SI,58007010.0,-39.2395006622098,-70.9180131491474
NEUQUEN,Aluminé,Moquehue,270,--,--,--,--,SI,SI,--,--,--,58007015.0,-38.9431841513779,-71.3282934446594
NEUQUEN,Aluminé,Villa Pehuenia,700,SI,--,SI,--,SI,SI,SI,--,SI,58007020.0,-38.88385673767,-71.1721341418285
