Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
SAN JUAN,Iglesia,Iglesia,--,--,--,--,--,--,SI,SI,SI
SAN JUAN,Iglesia,Las Flores,--,--,--,--,SI,SI,SI,SI,SI
SAN JUAN,Iglesia,Pismanta,--,--,--,--,--,--,--,SI,SI
SAN JUAN,Iglesia,Rodeo,--,--,--,--,SI,SI,SI,SI,--
SAN JUAN,Iglesia,Tudcum,--,--,--,--,--,--,SI,SI,SI
SAN JUAN,Jáchal,El Fical,--,--,--,--,--,--,--,--,--
SAN JUAN,Jáchal,El Fiscal,--,--,--,--,--,--,--,--,--
SAN JUAN,Jáchal,El Médano,--,--,--,--,--,--,--,SI,--
SAN JUAN,Jáchal,Gran China,--,--,--,--,--,--,--,SI,--
SAN JUAN,Jáchal,Huaco,--,--,--,--,--,--,SI,SI,--
SAN JUAN,Jáchal,La Falda,--,--,--,--,--,--,--,--,--
SAN JUAN,Jáchal,Mogna,--,--,--,--,--,--,--,SI,--
SAN JUAN,Jáchal,Niquivil,--,--,--,--,SI,--,SI,SI,--
SAN JUAN,Jáchal,Pampa Vieja,--,--,--,--,--,--,--,SI,--
SAN JUAN,Jáchal,San Isidro,--,--,--,--,--,--,--,SI,--
SAN JUAN,25 de Mayo,Campo Afuera,--,--,--,--,--,--,--,--,--
SAN JUAN,25 de Mayo,El Encón,--,--,--,--,SI,--,--,--,--
SAN JUAN,25 de Mayo,La Chimbera,--,--,--,--,--,--,--,--,--
SAN JUAN,25 de Mayo,Tupelí,--,--,--,--,--,--,--,SI,--
SAN JUAN,25 de Mayo,Villa Borjas,--,--,--,--,--,--,--,SI,--
SAN JUAN,25 de Mayo,Villa Borjas - La Chimbera,--,--,--,--,--,--,SI,SI,--
SAN JUAN,25 de Mayo,Villa El Tango,--,--,--,--,--,--,--,--,--
SAN JUAN,25 de Mayo,Villa Santa Rosa,--,--,--,--,SI,SI,SI,SI,--
SAN JUAN,9 de Julio,9 de Julio,--,--,--,SI,SI,SI,SI,SI,SI
SAN JUAN,9 de Julio,Alto de Sierra,--,--,--,--,SI,SI,--,SI,--
SAN JUAN,9 de Julio,Colonia Fiorito,--,--,--,--,--,--,--,SI,--
SAN JUAN,9 de Julio,Las Chacritas,--,--,--,--,SI,--,--,SI,--
SAN JUAN,Albardón,El Rincón,SI,--,SI,--,SI,SI,SI,SI,--
SAN JUAN,Albardón,La Cañada,--,--,--,--,--,--,--,--,--
SAN JUAN,Albardón,Villa Ampacama,--,--,--,--,--,--,--,--,--
SAN JUAN,Albardón,Villa General San Martin,--,--,--,--,--,--,--,SI,--
SAN JUAN,Albardón,Villa General San Martín - Campo Afuera,--,--,--,--,--,--,--,SI,--
SAN JUAN,Angaco,Las Tapias,--,--,--,--,--,--,SI,--,--
SAN JUAN,Angaco,Villa El Salvador,--,--,--,--,SI,SI,--,SI,--
SAN JUAN,Calingasta,Barreal,--,--,--,--,SI,SI,--,--,--
SAN JUAN,Calingasta,Barreal - Villa Pituil,--,--,SI,--,--,SI,SI,SI,--
SAN JUAN,Calingasta,Calingasta,--,--,--,--,--,SI,SI,SI,SI
SAN JUAN,Calingasta,Tamberías,--,--,SI,--,--,SI,SI,SI,--
SAN JUAN,Calingasta,Villa Pituil,--,--,--,--,--,--,--,--,--
SAN JUAN,Capital,San Juan,SI,SI,SI,SI,SI,SI,SI,SI,SI
SAN JUAN,Caucete,Barrio Justo P. Castro IV,--,--,--,--,--,--,--,--,--
SAN JUAN,Caucete,Bermejo,--,--,--,--,--,--,SI,--,SI
SAN JUAN,Caucete,Caucete,SI,--,--,--,SI,SI,SI,SI,--
SAN JUAN,Caucete,El Rincón,--,--,--,--,--,--,--,--,--
SAN JUAN,Caucete,Las Talas,--,--,--,--,--,--,--,--,--
SAN JUAN,Caucete,Las Talas - Los Médanos,--,--,--,--,--,--,--,--,--
SAN JUAN,Caucete,Los Medanos,--,--,--,--,--,--,--,--,--
SAN JUAN,Caucete,Marayes,--,--,--,--,--,--,--,--,--
SAN JUAN,Caucete,Pie de Palo,--,--,--,--,SI,--,--,--,--
SAN JUAN,Caucete,Vallecito,--,--,--,--,--,--,--,SI,--
SAN JUAN,Caucete,Villa Independencia,--,--,--,--,--,--,--,SI,--
MENDOZA,San Rafael,Goudge,--,SI,--,--,SI,SI,SI,SI,--
MENDOZA,San Rafael,Jaime Prats,--,--,--,--,--,--,SI,SI,--
MENDOZA,San Rafael,La Llave Nueva,--,--,--,--,--,--,SI,--,--
MENDOZA,San Rafael,Las Malvinas,--,--,--,--,--,--,SI,SI,--
MENDOZA,San Rafael,Los Reyunos,--,--,--,--,SI,--,--,--,--
MENDOZA,San Rafael,Monte Comán,--,--,--,SI,SI,SI,SI,SI,--
MENDOZA,San Rafael,Pobre Diablo,--,--,--,--,SI,SI,--,--,--
MENDOZA,San Rafael,Punta del Agua,--,--,--,SI,--,--,--,--,--
MENDOZA,San Rafael,Rama Caída,--,--,--,--,SI,SI,SI,SI,--
MENDOZA,San Rafael,Real del Padre,--,--,--,--,SI,SI,SI,SI,--
MENDOZA,San Rafael,Salto de Las Rosas,--,--,SI,--,SI,SI,SI,SI,--
MENDOZA,San Rafael,San Rafael,SI,SI,SI,SI,SI,SI,SI,SI,--
MENDOZA,San Rafael,Villa Atuel,--,--,--,--,SI,SI,SI,SI,--
MENDOZA,San Martín,PALMIRA,--,--,--,SI,SI,SI,--,SI,--
MENDOZA,San Martín,San Martín,--,SI,--,SI,SI,SI,--,SI,SI
MENDOZA,San Martín,Tres Porteñas,--,--,--,SI,SI,SI,SI,SI,--
MENDOZA,San Rafael,25 de Mayo,--,SI,SI,--,SI,SI,SI,SI,--
MENDOZA,San Rafael,Barrio Campos El Toledano,--,--,--,--,SI,SI,--,--,--
MENDOZA,San Rafael,Barrio Echeverria,--,--,--,--,SI,SI,--,--,--
MENDOZA,San Rafael,Barrio El Nevado,--,--,--,--,--,--,--,--,--
MENDOZA,San Rafael,Barrio Empleados de Comercio,--,--,--,--,--,--,--,--,--
MENDOZA,San Rafael,Barrio Intendencia,--,--,--,--,SI,SI,--,--,--
MENDOZA,San Rafael,Barrio Las Rosas,--,--,--,--,--,--,--,--,--
MENDOZA,San Rafael,Barrio Primavera,--,--,--,--,--,--,--,--,--
MENDOZA,San Rafael,Capitán Montoya,--,--,--,--,SI,SI,--,SI,--
MENDOZA,San Rafael,Cuadro Benegas,SI,--,SI,SI,--,--,SI,SI,SI
MENDOZA,San Rafael,Cuadro Nacional,--,--,--,--,SI,SI,--,--,--
MENDOZA,San Rafael,El Nihuil,--,--,--,--,--,--,SI,SI,--
MENDOZA,San Rafael,El Sosneado,--,--,--,--,--,--,--,--,--
